x,y,node_id,node_len,reach_id,wse,wse_var,width,wth_var,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,type,facc,lakeflag,max_width,manual_add,meand_len,sinuosity,river_name
-122.803529721102805,45.898283882879475,"78210000020631",209.914268602382435,"78210000021",1.100000023841858,0.000000000000000,808.500000000000000,414.888888888888857,"1","1","0","0","0",147016.670224421803141,"1",642775.591444381396286,"0",808.500000000000000,"0",8810.844148138834498,1.021067758449319,Columbia River
-122.802181937121716,45.896661466165597,"78210000020641",214.105614242280353,"78210000021",1.100000023841858,0.000000000000000,889.500000000000000,292.666666666666686,"2","1","0","0","0",147230.775838664063485,"1",642773.777738365461119,"0",889.500000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.800782670354351,45.895038943691645,"78210000020651",201.890100931244888,"78210000021",1.100000023841858,0.000000000000000,986.500000000000000,789.472222222222172,"1","1","0","0","0",147432.665939595317468,"1",642771.964032349642366,"0",986.500000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.799576831503501,45.893416742640319,"78210000020661",204.564823495866221,"78210000021",1.100000023841858,0.000000000000000,1039.500000000000000,273.805555555555600,"1","1","0","0","0",147637.230763091210974,"1",642770.150326333707199,"0",1039.500000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.798487065747636,45.891794733439589,"78210000020671",193.865933255856362,"78210000021",1.100000023841858,0.000000000000000,1117.000000000000000,319.805555555555600,"1","1","0","0","0",147831.096696347027319,"1",642768.336620317888446,"0",1117.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.797590697924832,45.890173055953881,"78210000020681",192.149061468846412,"78210000021",1.100000023841858,0.000000000000000,1248.000000000000000,927.472222222222285,"1","1","0","0","0",148023.245757815893739,"1",642766.522914301953278,"0",1248.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.796720159779468,45.888551416794066,"78210000020691",192.149061471716777,"78210000021",1.100000023841858,0.000000000000000,1354.500000000000000,1091.888888888888914,"1","1","0","0","0",148215.394819287612336,"1",642764.709208286018111,"0",1354.500000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.795886989792010,45.886794829545003,"78210000020701",219.309434989529109,"78210000021",1.100000023841858,0.000000000000000,1428.000000000000000,682.122448979591695,"1","1","0","0","0",148434.704254277137807,"1",642762.895502270082943,"0",1428.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.795173543658393,45.885038450318923,"78210000020711",188.715317899985166,"78210000021",1.100000023841858,0.000000000000000,1487.500000000000000,642.222222222222058,"2","2","0","0","0",148623.419572177110240,"1",642760.779511918313801,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.794509353583578,45.883417162557755,"78210000020721",190.432189687944629,"78210000021",1.100000023841858,0.000000000000000,1482.000000000000000,51.000000000000000,"2","2","0","0","0",148813.851761865051230,"1",642758.965805902378634,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.793523028048284,45.881795288469455,"78210000020731",207.239546082009838,"78210000021",1.100000023841858,0.000000000000000,1365.500000000000000,3607.472222222222172,"3","2","0","0","0",149021.091307947062887,"1",642757.152099886443466,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.792150159665866,45.880172703325911,"78210000020741",207.239546087683266,"78210000021",1.100000023841858,0.000000000000000,1300.500000000000000,1256.472222222222399,"2","2","0","0","0",149228.330854034720687,"1",642755.338393870624714,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.790919119235710,45.878550361058664,"78210000020751",201.890100961159987,"78210000021",1.100000023841858,0.000000000000000,1346.500000000000000,1964.250000000000000,"2","2","0","0","0",149430.220954995922511,"1",642753.524687854689546,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.789920095648014,45.876928431936847,"78210000020761",190.432189696944988,"78210000021",1.100000023841858,0.000000000000000,1307.500000000000000,731.666666666666629,"3","2","0","0","0",149620.653144692856586,"1",642751.710981838870794,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.789281924703687,45.875307159404450,"78210000020771",185.281574331602314,"78210000021",1.100000023841858,0.000000000000000,1300.500000000000000,549.805555555555543,"2","2","0","0","0",149805.934719024458900,"1",642749.897275822935626,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.788712409861574,45.873551001541095,"78210000020781",214.687457242012897,"78210000021",1.100000023841858,0.000000000000000,1233.000000000000000,5978.000000000000000,"4","2","0","0","0",150020.622176266479073,"1",642748.083569807116874,"0",2736.000000000000000,"0",6349.735119970611777,1.012764935501968,Columbia River
-122.788785834241111,45.871661022314619,"78210000020791",211.188234178060156,"78210000021",1.100000023841858,0.000000000000000,1125.000000000000000,1682.979591836734471,"3","3","0","0","0",150231.810410444508307,"1",642745.967579455114901,"0",2736.000000000000000,"0",5241.719254741316945,1.010201771669324,Columbia River
-122.788825613486054,45.869905988468837,"78210000020801",180.594117088419807,"78210000021",1.100000023841858,0.000000000000000,1124.500000000000000,1095.583333333333258,"3","3","0","0","0",150412.404527532955399,"1",642743.851589103345759,"0",2736.000000000000000,"0",2471.679591668077137,1.003793862087714,Columbia River
-122.788556178275002,45.868150382236522,"78210000020811",212.376468361368097,"78210000021",1.100000023841858,0.000000000000000,1018.000000000000000,1813.918367346938567,"3","2","0","0","0",150624.780995894310763,"1",642742.037883087410592,"0",2736.000000000000000,"0",2471.679591668077137,1.003793862087714,Columbia River
