"","node_id","drift_id","drift_pt_dist_km_bar","wse_difference_m_bar","wse_difference_m_sd","swot_passid","swot_time_UTC"
"28","78220000180511","SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300",0.0932822286141479,0.0309194601027342,0.0206153452261041,"fake swot pass ID",2022-07-26 21:44:47
"29","78220000180511","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",0.0985340145757017,0.0038279687379202,0.0209685922225553,"fake swot pass ID",2022-07-26 21:44:47
"30","78220000180661","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",0.138386683103232,-0.0267113544971266,0.00809576230699266,"fake swot pass ID",2022-07-26 21:44:47
"31","78220000180661","SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800",0.150914264301995,0.0276324574554516,0.00976320443011017,"fake swot pass ID",2022-07-26 21:44:47
"32","78220000180661","SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300",0.128646830190342,0.0270095448277894,0.0179913842492346,"fake swot pass ID",2022-07-26 21:44:47
"33","78220000180661","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",0.114836752755652,0.00550038381239534,0.0186549077175538,"fake swot pass ID",2022-07-26 21:44:47
"34","78220000180811","SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300",0.07788093871972,0.0477936501111245,0.00110644431486783,"fake swot pass ID",2022-07-26 21:44:47
"35","78220000180811","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",0.0819774056666503,0.0117821146093377,0.0148508580686997,"fake swot pass ID",2022-07-26 21:44:47
"36","78220000190011","SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300",0.0912481042820783,0.0111789401862509,0.022117927946217,"fake swot pass ID",2022-07-26 21:44:47
"37","78220000190011","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",0.0909532422737244,0.00655910978045228,0.0188891933568352,"fake swot pass ID",2022-07-26 21:44:47
