latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
42.58014696,-72.5747031,5.8004,16.78694,243,2021,33.761,120128.6
42.58014703,-72.57470313,5.7791,16.78722,243,2021,33.739,120041.747
42.580147,-72.57470318,5.7658,16.7875,243,2021,33.726,119955.771
42.58014707,-72.57470324,5.7426,16.78778,243,2021,33.703,119871.005
42.58014707,-72.57470328,5.7508,16.78806,243,2021,33.711,119788.52
42.58014707,-72.57470325,5.7516,16.78833,243,2021,33.712,119709.104
42.58014703,-72.57470327,5.7513,16.78861,243,2021,33.711,119633.103
42.58014689,-72.57470327,5.7769,16.78889,243,2021,33.737,119560.558
42.58014687,-72.57470327,5.7945,16.78917,243,2021,33.755,-67.743
42.58014678,-72.57470328,5.8153,16.78944,243,2021,33.775,-70.171
42.58014689,-72.57470328,5.7792,16.78972,243,2021,33.739,-69.502
42.58014687,-72.57470332,5.7803,16.79,243,2021,33.74,-65.552
42.58014679,-72.57470332,5.7904,16.79028,243,2021,33.751,-58.379
42.58014682,-72.57470331,5.7926,16.79056,243,2021,33.753,-47.894
42.58014678,-72.57470331,5.7839,16.79083,243,2021,33.744,-34.569
42.58014667,-72.57470332,5.8189,16.79111,243,2021,33.779,-17.823
42.58014658,-72.57470334,5.8402,16.79139,243,2021,33.8,-3.81
42.58014652,-72.57470342,5.8426,16.79167,243,2021,33.803,8.174
42.58014649,-72.57470344,5.8476,16.79194,243,2021,33.808,18.109
42.58014642,-72.5747035,5.8516,16.79222,243,2021,33.812,26.432
42.58014638,-72.57470344,5.8705,16.7925,243,2021,33.831,33.316
42.58014627,-72.57470349,5.8923,16.79278,243,2021,33.852,39.114
42.58014615,-72.57470352,5.9192,16.79306,243,2021,33.879,43.25
42.58014609,-72.57470354,5.9276,16.79333,243,2021,33.888,45.808
42.58014604,-72.5747036,5.9058,16.79361,243,2021,33.866,47.21
42.58014626,-72.57470344,5.8843,16.79389,243,2021,33.844,47.269
42.58014599,-72.57470351,5.9308,16.79417,243,2021,33.891,46.662
42.58014584,-72.57470354,5.9792,16.79444,243,2021,33.939,45.287
42.58014579,-72.57470357,5.9896,16.79472,243,2021,33.95,42.892
42.58014583,-72.57470362,5.967,16.795,243,2021,33.927,39.174
42.58014578,-72.57470366,5.9834,16.79528,243,2021,33.944,33.973
42.58014596,-72.57470369,5.9293,16.79556,243,2021,33.889,26.915
42.58014599,-72.5747037,5.9189,16.79583,243,2021,33.879,19.087
42.58014586,-72.57470376,5.9513,16.79611,243,2021,33.911,10.73
42.58014586,-72.57470381,5.9542,16.79639,243,2021,33.914,2.496
42.58014596,-72.57470381,5.9472,16.79667,243,2021,33.907,-5.741
42.58014567,-72.57470396,5.9862,16.79694,243,2021,33.946,-13.267
42.58014717,-72.57470331,5.7155,16.79722,243,2021,33.676,-20.906
42.58014943,-72.57470223,5.3397,16.7975,243,2021,33.3,-28.135
42.58014962,-72.5747021,5.3051,16.79778,243,2021,33.265,-33.503
42.58014947,-72.57470211,5.3441,16.79806,243,2021,33.304,-38.107
42.58014923,-72.57470228,5.3813,16.79833,243,2021,33.341,-42.04
42.58014918,-72.57470235,5.383,16.79861,243,2021,33.343,-45.305
42.58014907,-72.57470241,5.4003,16.79889,243,2021,33.36,-47.864
42.58014911,-72.57470246,5.3923,16.79917,243,2021,33.352,-49.962
42.58014888,-72.57470267,5.4315,16.79944,243,2021,33.392,-50.376
42.58014891,-72.57470269,5.4302,16.79972,243,2021,33.39,-50.694
42.58014871,-72.57470285,5.4832,16.8,243,2021,33.443,-49.903
42.58014866,-72.57470288,5.486,16.80028,243,2021,33.446,-48.941
42.58014866,-72.57470287,5.4851,16.80056,243,2021,33.445,-47.592
42.58014883,-72.57470281,5.4603,16.80083,243,2021,33.42,-46.37
42.5801487,-72.57470288,5.4945,16.80111,243,2021,33.455,-45.095
42.58014856,-72.57470288,5.5235,16.80139,243,2021,33.484,-43.8
42.58014883,-72.57470272,5.4678,16.80167,243,2021,33.428,-42.726
42.58014872,-72.57470279,5.4861,16.80194,243,2021,33.446,-41.229
42.58014838,-72.57470303,5.546,16.80222,243,2021,33.506,-39.521
42.58014865,-72.57470289,5.5043,16.8025,243,2021,33.464,-37.967
42.58014881,-72.57470285,5.4927,16.80278,243,2021,33.453,-36.166
42.58014847,-72.574703,5.5467,16.80306,243,2021,33.507,-34.601
42.58014821,-72.57470319,5.5873,16.80333,243,2021,33.547,-33.217
42.58014829,-72.57470324,5.5621,16.80361,243,2021,33.522,-32.039
42.58014826,-72.5747032,5.5667,16.80389,243,2021,33.527,-30.657
42.58014807,-72.57470326,5.6067,16.80417,243,2021,33.567,-29.374
42.58014813,-72.57470329,5.5889,16.80444,243,2021,33.549,-28.064
42.5801479,-72.57470341,5.6391,16.80472,243,2021,33.599,-26.138
42.58014773,-72.57470342,5.6959,16.805,243,2021,33.656,-24.432
42.58014779,-72.57470338,5.6747,16.80528,243,2021,33.635,-23.063
42.58014777,-72.57470339,5.6678,16.80556,243,2021,33.628,-21.683
42.58014776,-72.57470338,5.6921,16.80583,243,2021,33.652,-19.496
42.58014764,-72.57470346,5.7173,16.80611,243,2021,33.677,-17.201
42.58014753,-72.57470358,5.7293,16.80639,243,2021,33.689,-15.21
42.58014754,-72.57470361,5.7335,16.80667,243,2021,33.694,-13.361
42.5801475,-72.57470363,5.7496,16.80694,243,2021,33.71,-11.537
42.58014756,-72.57470364,5.7601,16.80722,243,2021,33.72,-9.916
42.58014772,-72.57470352,5.7484,16.8075,243,2021,33.709,-8.504
42.5801478,-72.57470352,5.7357,16.80778,243,2021,33.696,-7.099
42.58014787,-72.57470354,5.7363,16.80806,243,2021,33.696,-5.786
42.58014794,-72.57470358,5.7359,16.80833,243,2021,33.696,-4.545
42.5801479,-72.57470359,5.7418,16.80861,243,2021,33.702,-3.784
42.58014798,-72.57470353,5.7219,16.80889,243,2021,33.682,-3.409
42.58014816,-72.57470348,5.6793,16.80917,243,2021,33.639,-2.772
42.58014825,-72.57470344,5.664,16.80944,243,2021,33.624,-2.045
42.58014821,-72.57470353,5.6564,16.80972,243,2021,33.617,-1.576
42.58014822,-72.57470358,5.6607,16.81,243,2021,33.621,-1.038
42.58014821,-72.57470359,5.6604,16.81028,243,2021,33.621,-0.499
42.5801482,-72.57470355,5.6769,16.81056,243,2021,33.637,-0.241
42.58014823,-72.57470357,5.6715,16.81083,243,2021,33.632,-0.061
42.58014821,-72.57470359,5.6619,16.81111,243,2021,33.622,0.125
42.58014817,-72.57470362,5.6662,16.81139,243,2021,33.626,0.305
42.58014821,-72.57470366,5.6485,16.81167,243,2021,33.609,0.554
42.58014825,-72.5747037,5.6429,16.81194,243,2021,33.603,0.7
42.58014821,-72.57470368,5.6582,16.81222,243,2021,33.618,0.805
42.58014818,-72.57470371,5.6494,16.8125,243,2021,33.61,0.757
42.58014825,-72.57470374,5.6362,16.81278,243,2021,33.596,0.67
42.58014832,-72.57470376,5.6193,16.81306,243,2021,33.579,0.568
42.58014831,-72.57470373,5.6261,16.81333,243,2021,33.586,0.686
42.58014732,-72.57470363,5.7687,16.81361,243,2021,33.729,0.965
42.58014729,-72.57470367,5.7665,16.81389,243,2021,33.727,1.016
42.58014734,-72.57470369,5.7691,16.81417,243,2021,33.729,1.078
42.58014739,-72.57470369,5.7812,16.81444,243,2021,33.741,1.284
42.58014746,-72.57470374,5.7571,16.81472,243,2021,33.717,1.206
42.58014752,-72.57470374,5.737,16.815,243,2021,33.697,0.806
42.58014756,-72.57470379,5.7223,16.81528,243,2021,33.682,0.535
42.58014751,-72.57470376,5.7375,16.81556,243,2021,33.698,0.292
42.58014758,-72.57470383,5.7218,16.81583,243,2021,33.682,-0.054
42.58014763,-72.57470384,5.7205,16.81611,243,2021,33.681,-0.458
42.58014777,-72.57470388,5.6844,16.81639,243,2021,33.645,-0.714
42.58014787,-72.57470392,5.6529,16.81667,243,2021,33.613,-0.793
42.58014788,-72.57470397,5.6403,16.81694,243,2021,33.6,-0.556
42.5801479,-72.574704,5.6456,16.81722,243,2021,33.606,-0.313
42.58014788,-72.57470405,5.6474,16.8175,243,2021,33.608,0.187
42.58014795,-72.57470407,5.6435,16.81778,243,2021,33.604,0.501
42.58014797,-72.57470411,5.6315,16.81806,243,2021,33.592,1.099
42.58014801,-72.57470406,5.6259,16.81833,243,2021,33.586,1.817
42.58014808,-72.57470408,5.6258,16.81861,243,2021,33.586,2.598
42.58014815,-72.57470412,5.5971,16.81889,243,2021,33.557,3.25
42.58014809,-72.5747042,5.5985,16.81917,243,2021,33.559,3.819
42.58014814,-72.57470418,5.5745,16.81944,243,2021,33.535,4.416
42.58014803,-72.57470415,5.6021,16.81972,243,2021,33.562,5.019
42.58014799,-72.57470413,5.6169,16.82,243,2021,33.577,5.64
42.58014788,-72.57470409,5.6512,16.82028,243,2021,33.611,5.917
42.58014799,-72.57470415,5.6196,16.82056,243,2021,33.58,6.018
42.58014804,-72.57470421,5.604,16.82083,243,2021,33.564,6.555
42.58014815,-72.57470425,5.5893,16.82111,243,2021,33.549,6.816
42.5801483,-72.5747043,5.5679,16.82139,243,2021,33.528,6.765
42.58014817,-72.57470426,5.6051,16.82167,243,2021,33.565,6.849
42.58014654,-72.57470399,5.8633,16.82194,243,2021,33.823,7.643
42.58014655,-72.57470401,5.8278,16.82222,243,2021,33.788,7.872
42.58014645,-72.57470405,5.8479,16.8225,243,2021,33.808,8.094
42.58014661,-72.57470408,5.8213,16.82278,243,2021,33.781,8.192
42.58014671,-72.57470412,5.8017,16.82306,243,2021,33.762,8.353
42.58014675,-72.57470409,5.8054,16.82333,243,2021,33.766,8.385
42.58014685,-72.57470411,5.7873,16.82361,243,2021,33.747,8.468
42.58014674,-72.57470409,5.8274,16.82389,243,2021,33.788,9.004
42.58014696,-72.57470422,5.7656,16.82417,243,2021,33.726,9.27
42.58014698,-72.57470418,5.7795,16.82444,243,2021,33.74,9.722
42.58014698,-72.57470417,5.7836,16.82472,243,2021,33.744,10.053
42.58014706,-72.57470418,5.7801,16.825,243,2021,33.74,10.336
42.58014725,-72.57470422,5.7457,16.82528,243,2021,33.706,10.275
42.58014744,-72.57470431,5.7007,16.82556,243,2021,33.661,10.087
42.58014774,-72.57470438,5.6349,16.82583,243,2021,33.595,9.914
42.58014786,-72.57470441,5.619,16.82611,243,2021,33.579,9.958
42.58014788,-72.5747043,5.6251,16.82639,243,2021,33.585,10.228
42.58014797,-72.57470419,5.6213,16.82667,243,2021,33.581,10.617
42.58014799,-72.57470407,5.6108,16.82694,243,2021,33.571,10.826
42.58014826,-72.57470416,5.5636,16.82722,243,2021,33.524,10.932
42.58014836,-72.57470418,5.5478,16.8275,243,2021,33.508,10.742
42.58014845,-72.57470411,5.5804,16.82778,243,2021,33.541,10.469
42.58014869,-72.57470415,5.5255,16.82806,243,2021,33.486,10.357
42.58014863,-72.57470404,5.5454,16.82833,243,2021,33.506,10.525
42.58014869,-72.57470403,5.5362,16.82861,243,2021,33.496,10.482
42.58014877,-72.5747041,5.5098,16.82889,243,2021,33.47,10.34
42.58014888,-72.57470411,5.4812,16.82917,243,2021,33.441,10.351
42.58014891,-72.57470405,5.4806,16.82944,243,2021,33.441,10.26
42.58014871,-72.57470394,5.5104,16.82972,243,2021,33.471,10.342
42.58014883,-72.57470393,5.5068,16.83,243,2021,33.467,10.1
42.58014894,-72.57470394,5.4973,16.83028,243,2021,33.457,10.086
42.58014876,-72.57470402,5.5141,16.83056,243,2021,33.474,10.328
42.58014873,-72.57470401,5.5462,16.83083,243,2021,33.506,10.128
42.58014886,-72.57470405,5.5162,16.83111,243,2021,33.476,9.445
42.58014724,-72.57470366,5.785,16.83139,243,2021,33.745,9.468
42.58014734,-72.57470362,5.7736,16.83167,243,2021,33.734,8.538
42.58014737,-72.57470366,5.7797,16.83194,243,2021,33.74,7.675
42.58014749,-72.57470362,5.7442,16.83222,243,2021,33.704,6.472
42.58014756,-72.57470358,5.721,16.8325,243,2021,33.681,5.401
42.58014764,-72.5747035,5.7422,16.83278,243,2021,33.702,4.525
42.58014777,-72.57470358,5.6881,16.83306,243,2021,33.648,3.718
42.58014775,-72.57470352,5.6883,16.83333,243,2021,33.648,2.901
42.58014791,-72.57470357,5.6484,16.83361,243,2021,33.609,1.959
42.58014808,-72.57470354,5.5966,16.83389,243,2021,33.557,1.075
42.58014824,-72.57470354,5.555,16.83417,243,2021,33.515,0.484
42.58014798,-72.57470349,5.6024,16.83444,243,2021,33.563,0.321
42.5801478,-72.57470358,5.6357,16.83472,243,2021,33.596,0.494
42.58014774,-72.57470361,5.633,16.835,243,2021,33.593,1.193
42.58014778,-72.57470364,5.6239,16.83528,243,2021,33.584,2.079
42.58014696,-72.57470343,5.7519,16.83556,243,2021,33.712,3.559
42.58014716,-72.57470347,5.7347,16.83583,243,2021,33.695,4.451
42.58014686,-72.57470347,5.7589,16.83611,243,2021,33.719,4.722
42.5801469,-72.57470359,5.7423,16.83639,243,2021,33.702,4.822
42.58014695,-72.57470349,5.7211,16.83667,243,2021,33.681,5.403
42.58014754,-72.57470364,5.6182,16.83694,243,2021,33.578,5.607
42.58014742,-72.57470358,5.6472,16.83722,243,2021,33.607,6.193
42.58014704,-72.57470351,5.7177,16.8375,243,2021,33.678,6.754
42.58014694,-72.57470362,5.7151,16.83778,243,2021,33.675,6.856
42.58014681,-72.57470356,5.742,16.83806,243,2021,33.702,6.696
42.58014714,-72.57470369,5.6811,16.83833,243,2021,33.641,6.411
42.58014692,-72.57470362,5.7127,16.83861,243,2021,33.673,6.851
42.58014706,-72.57470376,5.6946,16.83889,243,2021,33.655,6.997
42.58014714,-72.57470378,5.6932,16.83917,243,2021,33.653,7.087
42.58014726,-72.57470383,5.6606,16.83944,243,2021,33.621,6.979
42.58014733,-72.57470381,5.6218,16.83972,243,2021,33.582,6.673
42.58014728,-72.57470382,5.627,16.84,243,2021,33.587,6.66
42.5801473,-72.57470382,5.6466,16.84028,243,2021,33.607,6.708
42.58014738,-72.5747038,5.6478,16.84056,243,2021,33.608,6.442
42.58014728,-72.57470383,5.6284,16.84083,243,2021,33.589,6.016
42.58014714,-72.574704,5.6154,16.84111,243,2021,33.576,5.855
42.58014722,-72.57470403,5.5972,16.84139,243,2021,33.557,5.183
42.58014702,-72.57470386,5.6919,16.84167,243,2021,33.652,4.905
42.58014686,-72.57470392,5.7032,16.84194,243,2021,33.663,4.816
