latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
42.33519843333334,-72.62018043055554,2.444,13.80528,245,2021,30.758,5311983.433
42.33519854166667,-72.62018070555555,2.4434,13.80556,245,2021,30.757,312171.112
42.33519905555556,-72.62018098333331,2.4705,13.80583,245,2021,30.784,-21.145
42.335198608333336,-72.62018128333332,2.548,13.80611,245,2021,30.862,-34.458
42.33519804444445,-72.62018225555552,2.6057,13.80639,245,2021,30.919,-44.976
42.33519863888889,-72.62018382777777,2.536,13.80667,245,2021,30.850,-53.758
42.335198472222224,-72.62018426666664,2.5268,13.80694,245,2021,30.840,-61.065
42.33519844166667,-72.62018411388888,2.504,13.80722,245,2021,30.818,-67.625
42.33519841944445,-72.6201840111111,2.4907,13.80750,245,2021,30.804,-73.762
42.335198472222224,-72.62018386388887,2.4972,13.80778,245,2021,30.811,-79.468
42.335198491666674,-72.62018366944443,2.4779,13.80806,245,2021,30.792,-84.607
42.33519844166667,-72.62018359722221,2.4789,13.80833,245,2021,30.793,-89.065
42.33519848888889,-72.62018366944443,2.4859,13.80861,245,2021,30.800,-92.578
42.3351984861111,-72.62018355833332,2.4539,13.80889,245,2021,30.768,-95.556
42.335198830555555,-72.62018442222221,2.4165,13.80917,245,2021,30.730,-98.190
42.33519875000001,-72.62018471666666,2.3786,13.80944,245,2021,30.692,-99.988
42.335198769444446,-72.62018448055555,2.365,13.80972,245,2021,30.679,-101.499
42.335198769444446,-72.62018448888887,2.413,13.81000,245,2021,30.727,-102.541
42.33519865277779,-72.62018477222222,2.3975,13.81028,245,2021,30.711,-103.092
42.33519874722222,-72.62018475555554,2.4187,13.81056,245,2021,30.732,-103.477
42.33519872222223,-72.62018472499999,2.4007,13.81083,245,2021,30.714,-104.270
42.33519881111111,-72.62018456388887,2.4144,13.81111,245,2021,30.728,-105.019
42.335198741666666,-72.62018480277776,2.438,13.81139,245,2021,30.752,-105.863
42.3351987638889,-72.62018471111112,2.4471,13.81167,245,2021,30.761,-106.443
42.3351987,-72.62018461388888,2.422,13.81194,245,2021,30.736,-106.870
42.335198644444446,-72.62018477222222,2.4215,13.81222,245,2021,30.735,-107.272
42.33519860555556,-72.62018474999999,2.4237,13.81250,245,2021,30.737,-107.456
42.335198644444446,-72.62018480833332,2.4238,13.81278,245,2021,30.737,-107.575
42.33519898055557,-72.62018425833332,2.4272,13.81306,245,2021,30.741,-107.337
42.33519885000001,-72.6201841611111,2.3727,13.81333,245,2021,30.686,-107.053
42.33519880833334,-72.62018463611109,2.3945,13.81361,245,2021,30.708,-106.713
42.33519879166668,-72.62018499166665,2.456,13.81389,245,2021,30.770,-106.239
42.33519865277779,-72.6201849611111,2.3929,13.81417,245,2021,30.707,-105.720
42.33519870277778,-72.62018495277776,2.4238,13.81444,245,2021,30.737,-104.942
42.335198669444445,-72.62018504444444,2.4067,13.81472,245,2021,30.720,-104.299
42.33519869444444,-72.62018499999998,2.3806,13.81500,245,2021,30.694,-103.801
42.335198661111114,-72.62018502777775,2.3825,13.81528,245,2021,30.696,-103.511
42.33519865000001,-72.6201850611111,2.3753,13.81556,245,2021,30.689,-103.715
42.335198563888895,-72.62018498888887,2.3703,13.81583,245,2021,30.684,-104.078
42.335198519444454,-72.62018486111108,2.3541,13.81611,245,2021,30.668,-104.391
42.335198563888895,-72.6201848472222,2.3491,13.81639,245,2021,30.663,-104.693
42.335198563888895,-72.62018484166667,2.344,13.81667,245,2021,30.658,-104.764
42.33519858611112,-72.62018482499998,2.3408,13.81694,245,2021,30.654,-104.908
42.335198555555564,-72.62018486944444,2.3647,13.81722,245,2021,30.678,-104.942
42.33519858611112,-72.62018490555555,2.3654,13.81750,245,2021,30.679,-104.853
42.33519854166667,-72.62018488333332,2.3733,13.81778,245,2021,30.687,-104.404
42.33519855277779,-72.62018491111111,2.3982,13.81806,245,2021,30.712,-103.983
42.33519850555556,-72.62018485277777,2.3785,13.81833,245,2021,30.692,-103.774
42.335198480555555,-72.62018479444446,2.3581,13.81861,245,2021,30.672,-103.541
42.33519847777778,-72.62018463055553,2.3571,13.81889,245,2021,30.671,-103.448
42.33519843888889,-72.62018460833333,2.3654,13.81917,245,2021,30.679,-103.594
42.335198444444444,-72.62018463055553,2.3755,13.81944,245,2021,30.689,-103.828
42.3351984638889,-72.62018459166664,2.3706,13.81972,245,2021,30.684,-104.093
42.33519849444445,-72.62018460555555,2.3963,13.82000,245,2021,30.710,-103.873
42.33519846944445,-72.62018460277775,2.3893,13.82028,245,2021,30.703,-103.966
42.335198508333335,-72.62018459999997,2.385,13.82056,245,2021,30.699,-103.864
42.33519850555556,-72.62018457222223,2.3716,13.82083,245,2021,30.685,-102.687
42.335198516666665,-72.62018453611111,2.3739,13.82111,245,2021,30.688,-99.895
42.3351984861111,-72.62018447499997,2.3687,13.82139,245,2021,30.682,-95.444
42.33519849444445,-72.62018448333333,2.3714,13.82167,245,2021,30.685,-89.065
42.33519848888889,-72.62018451666665,2.3676,13.82194,245,2021,30.681,-80.980
42.335198508333335,-72.62018449166665,2.3585,13.82222,245,2021,30.672,-72.175
42.335198500000004,-72.62018450277776,2.3759,13.82250,245,2021,30.690,-63.711
42.335198516666665,-72.62018453055553,2.3781,13.82278,245,2021,30.692,-55.697
42.33519853333333,-72.62018451388889,2.3769,13.82306,245,2021,30.691,-48.060
42.33519852500001,-72.62018458611111,2.3737,13.82333,245,2021,30.687,-41.020
42.33519854444445,-72.62018458888888,2.3751,13.82361,245,2021,30.689,-34.644
42.335198555555564,-72.62018462777776,2.37,13.82389,245,2021,30.684,-29.039
42.335198633333334,-72.62018463611109,2.3636,13.82417,245,2021,30.677,-24.251
42.33519866666667,-72.62018467222218,2.3555,13.82444,245,2021,30.669,-20.151
42.33519863055556,-72.62018473055554,2.3582,13.82472,245,2021,30.672,-16.746
42.335198672222226,-72.62018470277778,2.3598,13.82500,245,2021,30.673,-13.939
42.33519873888889,-72.62018458333333,2.3647,13.82528,245,2021,30.678,-11.966
42.335198719444456,-72.62018455555554,2.3682,13.82556,245,2021,30.682,-10.556
42.33519873333333,-72.62018458888888,2.3723,13.82583,245,2021,30.686,-9.204
42.335198775,-72.62018456666665,2.379,13.82611,245,2021,30.693,-7.936
42.33519873333333,-72.62018456111109,2.3778,13.82639,245,2021,30.691,-6.851
42.33519882222223,-72.6201845111111,2.3832,13.82667,245,2021,30.697,-5.968
42.335198761111116,-72.62018454722221,2.3766,13.82694,245,2021,30.690,-5.346
42.335198777777784,-72.62018446666664,2.373,13.82722,245,2021,30.687,-4.551
42.33519875555557,-72.62018449444443,2.377,13.82750,245,2021,30.691,-4.041
42.33519879166668,-72.62018449444443,2.3919,13.82778,245,2021,30.706,-3.467
42.33519878611112,-72.62018455277777,2.3908,13.82806,245,2021,30.704,-3.037
42.33519879166668,-72.62018458055555,2.3835,13.82833,245,2021,30.697,-2.895
42.33519870555555,-72.62018456388887,2.3872,13.82861,245,2021,30.701,-2.769
42.33519873888889,-72.62018454999999,2.3865,13.82889,245,2021,30.700,-2.633
42.33519872777778,-72.62018460555555,2.3783,13.82917,245,2021,30.692,-2.764
42.33519875000001,-72.62018456666665,2.3949,13.82944,245,2021,30.709,-2.989
42.335198752777785,-72.62018453888885,2.4034,13.82972,245,2021,30.717,-3.495
42.33519868333335,-72.62018457500001,2.4021,13.83000,245,2021,30.716,-3.767
42.33519865277779,-72.62018461388888,2.3976,13.83028,245,2021,30.711,-3.787
