Serial_number:
2139139
Project ID:
WM_Dryrun22
Location:
PT9
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2022/07/23,19:00:00,0,0.004,22.20
2022/07/23,19:15:00,0,0.005,22.50
2022/07/23,19:30:00,0,0.003,21.90
2022/07/23,19:45:00,0,0.004,21.60
2022/07/23,20:00:00,0,0.002,21.40
2022/07/23,20:15:00,0,0.005,21.50
2022/07/23,20:30:00,0,0.002,21.40
2022/07/23,20:45:00,0,0.004,21.40
2022/07/23,21:00:00,0,0.005,21.40
2022/07/23,21:15:00,0,0.004,21.40
2022/07/23,21:30:00,0,0.002,21.40
2022/07/23,21:45:00,0,0.002,21.50
2022/07/23,22:00:00,0,0.004,21.50
2022/07/23,22:15:00,0,0.003,21.60
2022/07/23,22:30:00,0,0.004,21.70
2022/07/23,22:45:00,0,0.003,21.80
2022/07/23,23:00:00,0,0.005,21.90
2022/07/23,23:15:00,0,0.004,21.90
2022/07/23,23:30:00,0,0.002,22.00
2022/07/23,23:45:00,0,0.006,22.20
2022/07/24,00:00:00,0,0.004,22.30
2022/07/24,00:15:00,0,0.005,22.40
2022/07/24,00:30:00,0,0.004,22.50
2022/07/24,00:45:00,0,0.004,22.60
2022/07/24,01:00:00,0,0.005,22.70
2022/07/24,01:15:00,0,0.005,22.70
2022/07/24,01:30:00,0,0.003,22.70
2022/07/24,01:45:00,0,0.006,22.70
2022/07/24,02:00:00,0,0.007,22.70
2022/07/24,02:15:00,0,0.006,22.70
2022/07/24,02:30:00,0,0.006,22.60
2022/07/24,02:45:00,0,0.005,22.60
2022/07/24,03:00:00,0,0.004,22.60
2022/07/24,03:15:00,0,0.006,22.60
2022/07/24,03:30:00,0,0.005,22.60
2022/07/24,03:45:00,0,0.005,22.50
2022/07/24,04:00:00,0,0.004,22.30
2022/07/24,04:15:00,0,0.004,22.10
2022/07/24,04:30:00,0,0.003,22.00
2022/07/24,04:45:00,0,0.005,22.00
2022/07/24,05:00:00,0,0.003,22.00
2022/07/24,05:15:00,0,0.003,21.90
2022/07/24,05:30:00,0,0.004,21.90
2022/07/24,05:45:00,0,0.003,21.80
2022/07/24,06:00:00,0,0.004,21.70
