Serial_number:
2139965
Project ID:
WM_Dryrun22
Location:
PT4
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2022/07/23,19:00:00,0,-0.002,21.20
2022/07/23,19:15:00,0,-0.003,21.00
2022/07/23,19:30:00,0,-0.001,21.00
2022/07/23,19:45:00,0,0.000,20.90
2022/07/23,20:00:00,0,-0.002,20.90
2022/07/23,20:15:00,0,-0.002,20.90
2022/07/23,20:30:00,0,-0.002,20.90
2022/07/23,20:45:00,0,0.000,20.90
2022/07/23,21:00:00,0,-0.002,20.90
2022/07/23,21:15:00,0,0.000,21.00
2022/07/23,21:30:00,0,-0.002,21.00
2022/07/23,21:45:00,0,-0.002,21.00
2022/07/23,22:00:00,0,0.000,21.10
2022/07/23,22:15:00,0,-0.002,21.10
2022/07/23,22:30:00,0,0.000,21.20
2022/07/23,22:45:00,0,-0.001,21.20
2022/07/23,23:00:00,0,-0.002,21.30
2022/07/23,23:15:00,0,-0.001,21.30
2022/07/23,23:30:00,0,-0.002,21.40
2022/07/23,23:45:00,0,-0.001,21.60
2022/07/24,00:00:00,0,0.000,21.70
2022/07/24,00:15:00,0,0.001,21.90
2022/07/24,00:30:00,0,-0.001,22.00
2022/07/24,00:45:00,0,0.000,22.10
2022/07/24,01:00:00,0,0.000,22.20
2022/07/24,01:15:00,0,0.001,22.30
2022/07/24,01:30:00,0,-0.002,22.30
2022/07/24,01:45:00,0,0.002,22.40
2022/07/24,02:00:00,0,0.002,22.40
2022/07/24,02:15:00,0,0.002,22.40
2022/07/24,02:30:00,0,0.001,22.40
2022/07/24,02:45:00,0,0.001,22.40
2022/07/24,03:00:00,0,0.000,22.40
2022/07/24,03:15:00,0,0.001,22.40
2022/07/24,03:30:00,0,0.001,22.40
2022/07/24,03:45:00,0,0.001,22.30
2022/07/24,04:00:00,0,0.000,22.20
2022/07/24,04:15:00,0,0.000,22.10
2022/07/24,04:30:00,0,0.002,22.10
2022/07/24,04:45:00,0,0.001,22.00
2022/07/24,05:00:00,0,-0.001,22.00
2022/07/24,05:15:00,0,0.002,22.00
2022/07/24,05:30:00,0,0.000,21.90
2022/07/24,05:45:00,0,0.000,21.90
2022/07/24,06:00:00,0,0.000,21.80
2022/07/24,06:15:00,0,0.001,21.80
2022/07/24,06:30:00,0,0.001,21.70
2022/07/24,06:45:00,0,0.000,21.60
2022/07/24,07:00:00,0,0.000,21.50
2022/07/24,07:15:00,0,0.001,21.40
2022/07/24,07:30:00,0,0.001,21.30
2022/07/24,07:45:00,0,-0.001,21.10
2022/07/24,08:00:00,0,-0.001,21.00
2022/07/24,08:15:00,0,0.001,21.00
2022/07/24,08:30:00,0,0.000,20.90
2022/07/24,08:45:00,0,0.001,21.00
2022/07/24,09:00:00,0,0.001,21.00
2022/07/24,09:15:00,0,0.001,21.00
2022/07/24,09:30:00,0,-0.001,21.00
2022/07/24,09:45:00,0,-0.001,21.00
2022/07/24,10:00:00,0,0.001,21.10
2022/07/24,10:15:00,0,0.000,21.10
2022/07/24,10:30:00,0,0.001,21.10
2022/07/24,10:45:00,0,0.002,21.10
2022/07/24,11:00:00,0,0.001,21.10
2022/07/24,11:15:00,0,0.001,21.10
2022/07/24,11:30:00,0,0.001,21.00
2022/07/24,11:45:00,0,-0.001,21.00
2022/07/24,12:00:00,0,0.000,21.00
2022/07/24,12:15:00,0,0.002,21.00
2022/07/24,12:30:00,0,0.001,21.00
2022/07/24,12:45:00,0,0.001,21.00
2022/07/24,13:00:00,0,0.000,20.90
2022/07/24,13:15:00,0,0.000,20.90
2022/07/24,13:30:00,0,0.000,20.90
2022/07/24,13:45:00,0,0.002,20.90
2022/07/24,14:00:00,0,0.000,20.80
2022/07/24,14:15:00,0,-0.001,20.80
2022/07/24,14:30:00,0,-0.001,20.80
2022/07/24,14:45:00,0,0.001,20.80
2022/07/24,15:00:00,0,-0.001,20.80
2022/07/24,15:15:00,0,-0.001,20.80
2022/07/24,15:30:00,0,0.000,20.80
2022/07/24,15:45:00,0,0.001,20.80
2022/07/24,16:00:00,0,0.000,20.70
2022/07/24,16:15:00,0,0.001,20.70
2022/07/24,16:30:00,0,-0.001,20.70
2022/07/24,16:45:00,0,0.000,20.90
2022/07/24,17:00:00,0,0.000,21.00
2022/07/24,17:15:00,0,-0.001,21.20
2022/07/24,17:30:00,0,0.000,21.50
2022/07/24,17:45:00,0,-0.002,21.50
2022/07/24,18:00:00,0,-0.001,21.50
2022/07/24,18:15:00,0,-0.002,21.40
2022/07/24,18:30:00,0,0.000,21.40
2022/07/24,18:45:00,0,-0.002,21.40
2022/07/24,19:00:00,0,-0.003,21.40
2022/07/24,19:15:00,0,-0.001,21.50
2022/07/24,19:30:00,0,-0.002,21.60
2022/07/24,19:45:00,0,0.000,21.70
2022/07/24,20:00:00,0,-0.001,21.80
2022/07/24,20:15:00,0,0.000,21.90
2022/07/24,20:30:00,0,-0.002,22.00
2022/07/24,20:45:00,0,-0.002,22.20
2022/07/24,21:00:00,0,-0.001,22.30
2022/07/24,21:15:00,0,0.001,22.50
2022/07/24,21:30:00,0,0.000,22.70
2022/07/24,21:45:00,0,0.001,22.80
2022/07/24,22:00:00,0,-0.001,23.00
2022/07/24,22:15:00,0,-0.002,23.10
2022/07/24,22:30:00,0,0.001,23.30
2022/07/24,22:45:00,0,0.000,23.40
2022/07/24,23:00:00,0,-0.001,23.60
2022/07/24,23:15:00,0,0.001,23.80
2022/07/24,23:30:00,0,-0.001,23.90
2022/07/24,23:45:00,0,0.000,24.10
2022/07/25,00:00:00,0,-0.002,24.20
2022/07/25,00:15:00,0,-0.001,24.40
2022/07/25,00:30:00,0,0.000,24.70
2022/07/25,00:45:00,0,0.001,25.00
2022/07/25,01:00:00,0,-0.001,25.30
2022/07/25,01:15:00,0,0.001,25.50
2022/07/25,01:30:00,0,-0.001,25.60
2022/07/25,01:45:00,0,0.000,25.70
2022/07/25,02:00:00,0,0.001,25.80
2022/07/25,02:15:00,0,0.001,25.80
2022/07/25,02:30:00,0,-0.002,25.70
2022/07/25,02:45:00,0,0.000,25.60
2022/07/25,03:00:00,0,0.000,25.70
2022/07/25,03:15:00,0,0.000,25.70
2022/07/25,03:30:00,0,0.000,25.90
2022/07/25,03:45:00,0,-0.001,26.00
2022/07/25,04:00:00,0,0.001,26.10
2022/07/25,04:15:00,0,0.001,26.10
2022/07/25,04:30:00,0,0.000,25.90
2022/07/25,04:45:00,0,-0.001,25.60
2022/07/25,05:00:00,0,0.001,25.40
2022/07/25,05:15:00,0,-0.001,25.20
2022/07/25,05:30:00,0,0.001,25.10
2022/07/25,05:45:00,0,0.001,25.00
2022/07/25,06:00:00,0,0.001,25.10
2022/07/25,06:15:00,0,-0.001,25.20
2022/07/25,06:30:00,0,-0.001,25.40
2022/07/25,06:45:00,0,-0.001,25.50
2022/07/25,07:00:00,0,-0.001,25.50
2022/07/25,07:15:00,0,0.000,25.60
2022/07/25,07:30:00,0,0.000,25.60
2022/07/25,07:45:00,0,-0.001,25.60
2022/07/25,08:00:00,0,-0.001,25.50
2022/07/25,08:15:00,0,-0.002,25.40
2022/07/25,08:30:00,0,-0.002,25.30
2022/07/25,08:45:00,0,-0.002,25.10
2022/07/25,09:00:00,0,-0.002,24.90
2022/07/25,09:15:00,0,-0.002,24.70
2022/07/25,09:30:00,0,0.000,24.50
2022/07/25,09:45:00,0,0.000,24.30
2022/07/25,10:00:00,0,-0.001,24.10
2022/07/25,10:15:00,0,-0.001,23.80
2022/07/25,10:30:00,0,-0.002,23.60
2022/07/25,10:45:00,0,-0.002,23.30
2022/07/25,11:00:00,0,-0.002,23.10
2022/07/25,11:15:00,0,0.000,22.80
2022/07/25,11:30:00,0,0.000,22.60
2022/07/25,11:45:00,0,-0.003,22.30
2022/07/25,12:00:00,0,-0.002,22.10
2022/07/25,12:15:00,0,-0.001,21.80
2022/07/25,12:30:00,0,0.001,21.60
2022/07/25,12:45:00,0,0.000,21.30
2022/07/25,13:00:00,0,-0.001,21.10
2022/07/25,13:15:00,0,-0.001,20.80
2022/07/25,13:30:00,0,-0.002,20.60
2022/07/25,13:45:00,0,-0.003,20.40
2022/07/25,14:00:00,0,-0.001,20.30
2022/07/25,14:15:00,0,-0.002,20.30
2022/07/25,14:30:00,0,-0.002,20.40
2022/07/25,14:45:00,0,-0.003,20.50
2022/07/25,15:00:00,0,0.000,20.80
2022/07/25,15:15:00,0,0.001,21.20
2022/07/25,15:30:00,0,-0.002,21.70
2022/07/25,15:45:00,0,0.000,22.90
2022/07/25,16:00:00,0,-0.001,23.20
2022/07/25,16:15:00,0,-0.001,23.40
2022/07/25,16:30:00,0,-0.001,23.50
2022/07/25,16:45:00,0,0.000,23.70
2022/07/25,17:00:00,0,0.002,23.80
2022/07/25,17:15:00,0,0.000,23.90
2022/07/25,17:30:00,0,0.001,24.10
2022/07/25,17:45:00,0,-0.001,24.10
2022/07/25,18:00:00,0,0.000,24.20
2022/07/25,18:15:00,0,0.002,24.40
2022/07/25,18:30:00,0,0.002,24.60
2022/07/25,18:45:00,0,0.000,25.20
2022/07/25,19:00:00,0,0.001,26.00
2022/07/25,19:15:00,0,-0.001,26.10
2022/07/25,19:30:00,0,0.000,26.90
2022/07/25,19:45:00,0,0.002,27.90
2022/07/25,20:00:00,0,0.001,28.90
2022/07/25,20:15:00,0,0.002,29.90
2022/07/25,20:30:00,0,0.000,30.70
2022/07/25,20:45:00,0,0.007,32.90
2022/07/25,21:00:00,0,-0.001,35.10
2022/07/25,21:15:00,0,-0.006,35.80
2022/07/25,21:30:00,0,-0.005,35.60
2022/07/25,21:45:00,0,0.590,21.70
2022/07/25,22:00:00,0,0.591,21.70
2022/07/25,22:15:00,0,0.590,21.80
2022/07/25,22:30:00,0,0.592,21.90
2022/07/25,22:45:00,0,0.586,22.00
2022/07/25,23:00:00,0,0.589,22.10
2022/07/25,23:15:00,0,0.589,22.20
2022/07/25,23:30:00,0,0.588,22.20
2022/07/25,23:45:00,0,0.589,22.30
2022/07/26,00:00:00,0,0.592,22.40
2022/07/26,00:15:00,0,0.590,22.40
2022/07/26,00:30:00,0,0.591,22.50
2022/07/26,00:45:00,0,0.590,22.50
2022/07/26,01:00:00,0,0.588,22.50
2022/07/26,01:15:00,0,0.590,22.50
2022/07/26,01:30:00,0,0.588,22.50
2022/07/26,01:45:00,0,0.587,22.50
2022/07/26,02:00:00,0,0.587,22.50
2022/07/26,02:15:00,0,0.587,22.50
2022/07/26,02:30:00,0,0.586,22.50
2022/07/26,02:45:00,0,0.582,22.40
2022/07/26,03:00:00,0,0.596,22.40
2022/07/26,03:15:00,0,0.581,22.30
2022/07/26,03:30:00,0,0.585,22.30
2022/07/26,03:45:00,0,0.587,22.20
2022/07/26,04:00:00,0,0.590,22.20
2022/07/26,04:15:00,0,0.589,22.20
2022/07/26,04:30:00,0,0.591,22.10
2022/07/26,04:45:00,0,0.590,22.10
2022/07/26,05:00:00,0,0.589,22.00
2022/07/26,05:15:00,0,0.592,22.00
2022/07/26,05:30:00,0,0.592,22.00
