"","node_id","pt_time_UTC","mean_node_pt_wse_m","mean_pt_wse_precision_m"
"4690","78220000180511","2022-07-26 10:30:00",57.3216825016326,0.026
"4691","78220000180511","2022-07-26 10:45:00",57.3226825016326,0.026
"4692","78220000180511","2022-07-26 11:00:00",57.3186825016326,0.026
"4693","78220000180511","2022-07-26 11:15:00",57.3216825016326,0.026
"4694","78220000180511","2022-07-26 11:30:00",57.3206825016326,0.026
"4695","78220000180511","2022-07-26 11:45:00",57.3226825016326,0.026
"4696","78220000180511","2022-07-26 12:00:00",57.3226825016326,0.026
"4697","78220000180511","2022-07-26 12:15:00",57.3206825016326,0.026
"4698","78220000180511","2022-07-26 12:30:00",57.3196825016326,0.026
"4699","78220000180511","2022-07-26 12:45:00",57.3226825016326,0.026
"4700","78220000180511","2022-07-26 13:00:00",57.3196825016326,0.026
"4701","78220000180511","2022-07-26 13:15:00",57.3216825016326,0.026
"4702","78220000180511","2022-07-26 13:30:00",57.3206825016326,0.026
"4703","78220000180511","2022-07-26 13:45:00",57.3186825016326,0.026
"4704","78220000180511","2022-07-26 14:00:00",57.3196825016326,0.026
"4705","78220000180511","2022-07-26 14:15:00",57.3176825016326,0.026
"4706","78220000180511","2022-07-26 14:30:00",57.3176825016326,0.026
"4707","78220000180511","2022-07-26 14:45:00",57.3166825016326,0.026
"4708","78220000180511","2022-07-26 15:00:00",57.3156825016326,0.026
"4709","78220000180511","2022-07-26 15:15:00",57.3166825016326,0.026
"4710","78220000180511","2022-07-26 15:30:00",57.3156825016326,0.026
"4711","78220000180511","2022-07-26 15:45:00",57.3146825016326,0.026
"4712","78220000180511","2022-07-26 16:00:00",57.3166825016326,0.026
"4713","78220000180511","2022-07-26 16:15:00",57.3136825016326,0.026
"4714","78220000180511","2022-07-26 16:30:00",57.3146825016326,0.026
"4715","78220000180511","2022-07-26 16:45:00",57.3136825016326,0.026
"4716","78220000180511","2022-07-26 17:00:00",57.3146825016326,0.026
"4717","78220000180511","2022-07-26 17:15:00",57.3126825016326,0.026
"4718","78220000180511","2022-07-26 17:30:00",57.3126825016326,0.026
"4719","78220000180511","2022-07-26 17:45:00",57.3136825016326,0.026
"4720","78220000180511","2022-07-26 18:00:00",57.3126825016326,0.026
"4721","78220000180511","2022-07-26 18:15:00",57.3136825016326,0.026
"4722","78220000180511","2022-07-26 18:30:00",57.3126825016326,0.026
"4723","78220000180511","2022-07-26 18:45:00",57.3046825016326,0.026
"4724","78220000180511","2022-07-26 19:00:00",57.3056825016326,0.026
"4725","78220000180511","2022-07-26 19:15:00",57.3056825016326,0.026
"4726","78220000180511","2022-07-26 19:30:00",57.3036825016326,0.026
"4727","78220000180511","2022-07-26 19:45:00",57.2754712311939,0.026
"4728","78220000180511","2022-07-26 20:00:00",57.2734712311939,0.026
"4729","78220000180511","2022-07-26 20:15:00",57.2744712311939,0.026
"4730","78220000180511","2022-07-26 20:30:00",57.3026825016326,0.026
"4731","78220000180511","2022-07-26 20:45:00",57.2724712311939,0.026
"4732","78220000180511","2022-07-26 21:00:00",57.2734712311939,0.026
"4733","78220000180511","2022-07-26 21:15:00",57.2714712311939,0.026
"4734","78220000180511","2022-07-26 21:30:00",57.2734712311939,0.026
"4735","78220000180511","2022-07-26 21:45:00",57.2714712311939,0.026
"4736","78220000180511","2022-07-26 22:00:00",57.2724712311939,0.026
"4737","78220000180511","2022-07-26 22:15:00",57.2714712311939,0.026
"4738","78220000180511","2022-07-26 22:30:00",57.2704712311939,0.026
"4739","78220000180511","2022-07-26 22:45:00",57.2694712311939,0.026
"4740","78220000180511","2022-07-26 23:00:00",57.2664712311939,0.026
"4741","78220000180511","2022-07-26 23:15:00",57.2684712311939,0.026
"4742","78220000180511","2022-07-26 23:30:00",57.2704712311939,0.026
"4743","78220000180511","2022-07-26 23:45:00",57.2694712311939,0.026
"4744","78220000180511","2022-07-27 00:00:00",57.2714712311939,0.026
"4745","78220000180511","2022-07-27 00:15:00",57.2724712311939,0.026
"4746","78220000180511","2022-07-27 00:30:00",57.2694712311939,0.026
"4747","78220000180511","2022-07-27 00:45:00",57.2704712311939,0.026
"4748","78220000180511","2022-07-27 01:00:00",57.2704712311939,0.026
"4749","78220000180511","2022-07-27 01:15:00",57.2704712311939,0.026
"4750","78220000180511","2022-07-27 01:30:00",57.2694712311939,0.026
"4751","78220000180511","2022-07-27 01:45:00",57.2724712311939,0.026
"4752","78220000180511","2022-07-27 02:00:00",57.2674712311939,0.026
"4753","78220000180511","2022-07-27 02:15:00",57.2704712311939,0.026
"4754","78220000180511","2022-07-27 02:30:00",57.2694712311939,0.026
"4755","78220000180511","2022-07-27 02:45:00",57.2704712311939,0.026
"4756","78220000180511","2022-07-27 03:00:00",57.2654712311939,0.026
"4757","78220000180511","2022-07-27 03:15:00",57.2714712311939,0.026
"4758","78220000180511","2022-07-27 03:30:00",57.2714712311939,0.026
