"","node_id","node_wse","node_wse_precision_m","time","reach_id","drift_id"
"35","78220000230151",55.9660872673096,0.05,2022-07-26 19:43:37,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"36","78220000230161",56.0295760790201,0.05,2022-07-26 19:42:04,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"37","78220000230191",56.641618858335,0.05,2022-07-26 19:36:11,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"38","78220000230201",56.6903038646994,0.05,2022-07-26 19:34:51,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"39","78220000230211",56.7845091219673,0.05,2022-07-26 19:33:13,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"40","78220000230221",56.8984152800957,0.05,2022-07-26 19:31:41,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"41","78220000230231",57.0457511766408,0.05,2022-07-26 19:29:54,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"42","78220000230241",57.0945593336484,0.05,2022-07-26 19:27:48,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"43","78220000230251",57.1527006428971,0.05,2022-07-26 19:25:31,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"44","78220000230261",57.2604736497887,0.05,2022-07-26 18:57:25,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"45","78220000230271",57.3471641489468,0.05,2022-07-26 18:44:22,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"46","78220000230281",57.3999226099694,0.05,2022-07-26 18:42:43,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"47","78220000230291",57.532614309021,0.05,2022-07-26 18:40:56,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"48","78220000230301",57.6804910173772,0.05,2022-07-26 18:38:59,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"49","78220000230311",57.7989957080726,0.05,2022-07-26 18:36:47,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"50","78220000230411",58.2327266232198,0.05,2022-07-26 18:01:35,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"51","78220000230421",58.2171355503712,0.05,2022-07-26 17:58:31,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"52","78220000230431",58.2158669161636,0.05,2022-07-26 17:56:05,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"53","78220000230441",58.234866599818,0.05,2022-07-26 17:54:09,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"54","78220000230451",58.26199848491,0.05,2022-07-26 17:52:14,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400"
"55","78220000220011",51.6832862162734,0.05,2022-07-27 23:30:46,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"56","78220000220021",51.7360054454107,0.05,2022-07-27 23:28:28,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"57","78220000220031",51.7937299285072,0.05,2022-07-27 23:26:41,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"58","78220000220121",52.1318379921492,0.05,2022-07-27 23:06:27,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"59","78220000220141",52.2671677025005,0.05,2022-07-27 23:01:27,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"60","78220000220151",52.6078682164696,0.05,2022-07-27 22:59:17,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"61","78220000220161",52.7031060792079,0.05,2022-07-27 22:57:27,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"62","78220000220171",52.7567847256504,0.05,2022-07-27 22:55:30,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"63","78220000220181",52.8051003466775,0.05,2022-07-27 22:53:24,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"64","78220000220191",52.8251550203584,0.05,2022-07-27 22:51:56,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"65","78220000220201",52.8930182610724,0.05,2022-07-27 22:50:24,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"66","78220000220211",53.077871479428,0.05,2022-07-27 22:48:20,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"67","78220000220241",53.348351080726,0.05,2022-07-27 22:39:38,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"68","78220000220251",53.3388687398515,0.05,2022-07-27 22:36:24,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"69","78220000220301",53.472173472919,0.05,2022-07-27 22:26:43,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"70","78220000220311",53.4892621153906,0.05,2022-07-27 22:23:04,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"71","78220000220321",53.5021597122981,0.05,2022-07-27 22:21:13,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"72","78220000220331",53.5851298017348,0.05,2022-07-27 22:19:31,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"73","78220000220341",53.8992826624463,0.05,2022-07-27 22:18:02,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"74","78220000220391",54.4419330425781,0.05,2022-07-27 22:06:11,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"75","78220000220401",54.4711813817766,0.05,2022-07-27 22:04:21,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"76","78220000220411",54.4719942043686,0.05,2022-07-27 22:03:13,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"77","78220000220421",54.5307493739929,0.05,2022-07-27 22:01:03,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"78","78220000220431",54.5846563152886,0.05,2022-07-27 21:58:59,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"79","78220000220441",54.6005146886622,0.05,2022-07-27 21:56:21,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"80","78220000230011",55.3397140228048,0.05,2022-07-27 21:32:55,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"81","78220000230021",55.3567365415915,0.05,2022-07-27 21:30:54,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"82","78220000230031",55.6652806217489,0.05,2022-07-27 21:29:02,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"83","78220000230061",55.9208251279638,0.05,2022-07-27 21:21:24,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"84","78220000230091",56.0266580341546,0.05,2022-07-27 21:15:57,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"85","78220000230111",56.1125992980819,0.05,2022-07-27 21:13:00,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"86","78220000230121",56.1574238129589,0.05,2022-07-27 21:11:17,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"87","78220000230131",56.154459248888,0.05,2022-07-27 21:09:37,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"88","78220000230141",56.1019779229265,0.05,2022-07-27 21:08:34,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"89","78220000230151",56.1550161004643,0.05,2022-07-27 21:05:54,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"90","78220000230161",56.2024504063631,0.05,2022-07-27 21:04:41,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"91","78220000230171",56.230194544824,0.05,2022-07-27 21:02:00,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"92","78220000230211",56.9348425794037,0.05,2022-07-27 20:51:26,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"93","78220000230221",57.0723097554158,0.05,2022-07-27 20:49:37,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"94","78220000230231",57.2189035842225,0.05,2022-07-27 20:47:37,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"95","78220000230241",57.2404140741873,0.05,2022-07-27 20:45:41,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"96","78220000230251",57.3058271181226,0.05,2022-07-27 20:44:05,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"97","78220000230261",57.4393762694295,0.05,2022-07-27 20:41:55,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"98","78220000230271",57.5095824876347,0.05,2022-07-27 20:40:32,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"99","78220000230281",57.5728044521655,0.05,2022-07-27 20:38:54,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"100","78220000230291",57.7208320652628,0.05,2022-07-27 19:46:03,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"101","78220000230301",57.8611149509071,0.05,2022-07-27 19:44:34,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"102","78220000230311",57.9829302167915,0.05,2022-07-27 19:42:36,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"103","78220000230321",58.0342781819006,0.05,2022-07-27 19:40:27,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"104","78220000230331",58.0445751605067,0.05,2022-07-27 19:38:17,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"105","78220000230371",58.2684459382424,0.05,2022-07-27 19:31:11,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"106","78220000230381",58.2963441287574,0.05,2022-07-27 19:29:27,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"107","78220000230391",58.3275416053757,0.05,2022-07-27 19:27:48,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"108","78220000230401",58.3563484203295,0.05,2022-07-27 19:25:29,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"109","78220000230411",58.3460516980503,0.05,2022-07-27 19:00:37,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"110","78220000230421",58.3004767001791,0.05,2022-07-27 18:01:13,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"111","78220000230431",58.3342206456717,0.05,2022-07-27 17:58:57,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"112","78220000230441",58.3338651697964,0.05,2022-07-27 17:57:06,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"113","78220000230451",58.3277103738129,0.05,2022-07-27 17:55:13,78220000231,"SWOTCalVal_WM_GNSS_L2_Rec2_20220727T153200_20220728T004800"
"114","78220000220381",54.4832332811923,0.05,2022-07-30 01:53:59,78220000221,"SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300"
