"","reach_id","pt_time_UTC","reach_PT_slope_m_m","reach_PT_slope_precision_m"
"28","78220000171","2022-07-26 01:30:00",0.000316321965592715,0.000108590166831502
"29","78220000171","2022-07-26 01:45:00",0.000316774140996336,0.000108729983548448
"30","78220000171","2022-07-26 02:00:00",0.000316497001232826,0.00010866809903097
"31","78220000171","2022-07-26 02:15:00",0.000316482414929484,0.000108720047529701
"32","78220000171","2022-07-26 02:30:00",0.000316219861469318,0.000108632397029763
"33","78220000171","2022-07-26 02:45:00",0.00031629279298603,0.000108702781252217
"34","78220000171","2022-07-26 03:00:00",0.000316715795782965,0.000109007874220117
"35","78220000171","2022-07-26 03:15:00",0.000315986480615837,0.000108443816461659
"36","78220000171","2022-07-26 03:30:00",0.000316219861469319,0.000108582727809846
"37","78220000171","2022-07-26 03:45:00",0.000316088584739234,0.000108687849993097
"38","78220000171","2022-07-26 04:00:00",0.000316321965592715,0.000108826750139505
"39","78220000171","2022-07-26 04:15:00",0.000316234447772661,0.000108694395830036
"40","78220000171","2022-07-26 04:30:00",0.000316511587536169,0.000108993289276633
"41","78220000171","2022-07-26 04:45:00",0.000316424069716115,0.000108860919333723
"42","78220000171","2022-07-26 05:00:00",0.00031656993274954,0.000108791325496633
"43","78220000171","2022-07-26 05:15:00",0.000316701209479623,0.000108923289668785
"44","78220000171","2022-07-26 05:30:00",0.000316744968389651,0.000108895727708268
"45","78220000171","2022-07-26 05:45:00",0.00031668662317628,0.000108860919333724
"46","78220000171","2022-07-26 06:00:00",0.00031656993274954,0.000109001382342715
"47","78220000171","2022-07-26 06:15:00",0.000316438656019456,0.000108896246311839
"48","78220000171","2022-07-26 06:30:00",0.00031656993274954,0.000108791325496633
"49","78220000171","2022-07-26 06:45:00",0.000316847072513048,0.000108903060950986
"50","78220000171","2022-07-26 07:00:00",0.00031656993274954,0.000109001382342715
"51","78220000171","2022-07-26 07:15:00",0.000316497001232826,0.000108931005897059
"52","78220000171","2022-07-26 07:30:00",0.000316672036872939,0.000109035330560943
"53","78220000171","2022-07-26 07:45:00",0.000316759554692992,0.000108931005897059
"54","78220000171","2022-07-26 08:00:00",0.000316978349243131,0.000109244625644046
"55","78220000171","2022-07-26 08:15:00",0.000316715795782967,0.000108958502696722
"56","78220000171","2022-07-26 08:30:00",0.000316730382086307,0.000109070120727252
"57","78220000171","2022-07-26 08:45:00",0.00031668662317628,0.000109070842150834
"58","78220000171","2022-07-26 09:00:00",0.000316803313603021,0.000109140332610581
"59","78220000171","2022-07-26 09:15:00",0.000316890831423077,0.000109036108411659
"60","78220000171","2022-07-26 09:30:00",0.000316861658816392,0.000108965367332757
"61","78220000171","2022-07-26 09:45:00",0.000316992935546473,0.000109070120727252
"62","78220000171","2022-07-26 10:00:00",0.000317051280759844,0.000109104918520556
"63","78220000171","2022-07-26 10:15:00",0.000316847072513048,0.00010913972393356
"64","78220000171","2022-07-26 10:30:00",0.000316992935546473,0.000109070120727252
"65","78220000171","2022-07-26 10:45:00",0.000316511587536169,0.000108966663951335
"66","78220000171","2022-07-26 11:00:00",0.000316467828626142,0.000108784024620122
"67","78220000171","2022-07-26 11:15:00",0.000316774140996335,0.000108993289276633
"68","78220000171","2022-07-26 11:30:00",0.000316380310806087,0.000108861494390207
"69","78220000171","2022-07-26 11:45:00",0.000316555346446197,0.000109126956684755
"70","78220000171","2022-07-26 12:00:00",0.000316642864266252,0.000108812183152991
"71","78220000171","2022-07-26 12:15:00",0.000316642864266253,0.00010909833178905
"72","78220000171","2022-07-26 12:30:00",0.000316599105356224,0.000108888952470147
"73","78220000171","2022-07-26 12:45:00",0.000316336551896058,0.000108888952470147
"74","78220000171","2022-07-26 13:00:00",0.00031629279298603,0.000108679656054975
"75","78220000171","2022-07-26 13:15:00",0.00031639489710943,0.000108923723758786
"76","78220000171","2022-07-26 13:30:00",0.000316394897109428,0.000108923723758787
"77","78220000171","2022-07-26 13:45:00",0.000316307379289375,0.000108749412285621
"78","78220000171","2022-07-26 14:00:00",0.000316467828626141,0.000108784024620122
"79","78220000171","2022-07-26 14:15:00",0.000316249034076004,0.000108756540048746
"80","78220000171","2022-07-26 14:30:00",0.000316555346446198,0.000108965773138532
"81","78220000171","2022-07-26 14:45:00",0.000316059412132551,0.000108826750139505
"82","78220000171","2022-07-26 15:00:00",0.000316467828626142,0.000108784024620122
"83","78220000171","2022-07-26 15:15:00",0.000316321965592717,0.000108853641888625
"84","78220000171","2022-07-26 15:30:00",0.000316365724502743,0.00010882611859407
"85","78220000171","2022-07-26 15:45:00",0.000316307379289373,0.000108791325496632
"86","78220000171","2022-07-26 16:00:00",0.000316482414929484,0.000108819432870084
"87","78220000171","2022-07-26 16:15:00",0.000316351138199401,0.000108714437921888
"88","78220000171","2022-07-26 16:30:00",0.000316613691659567,0.000108714437921888
"89","78220000171","2022-07-26 16:45:00",0.000316613691659568,0.000108714437921888
"90","78220000171","2022-07-26 17:00:00",0.000316657450569595,0.000108637601686232
"91","78220000171","2022-07-26 17:15:00",0.000316672036872937,0.000108749227446053
"92","78220000171","2022-07-26 17:30:00",0.00031668662317628,0.000108860919333724
"93","78220000171","2022-07-26 17:45:00",0.000317051280759845,0.000108818829436756
"94","78220000171","2022-07-26 18:00:00",0.00031680331360302,0.000108644481898245
"95","78220000171","2022-07-26 18:15:00",0.000316992935546474,0.000108784024620122
"96","78220000171","2022-07-26 18:30:00",0.000316978349243131,0.000108721762257755
"97","78220000171","2022-07-26 18:45:00",0.000317109625973217,0.000108826750139505
"98","78220000171","2022-07-26 19:00:00",0.000317255489006641,0.000108784024620121
"99","78220000171","2022-07-26 19:15:00",0.000317328420523353,0.000108854188838133
"100","78220000171","2022-07-26 19:30:00",0.000317284661613324,0.000108931005897059
"101","78220000171","2022-07-26 19:45:00",0.000317357593130039,0.000108791325496632
"102","78220000171","2022-07-26 20:00:00",0.000317357593130038,0.000108791325496633
"103","78220000171","2022-07-26 20:15:00",0.000317226316399955,0.00010889624631184
"104","78220000171","2022-07-26 20:30:00",0.000317386765736725,0.00010865222967586
"105","78220000171","2022-07-26 20:45:00",0.000317046083659048,0.000108708677982321
"106","78220000171","2022-07-26 21:00:00",0.000316856461715595,0.000108703434464626
"107","78220000171","2022-07-26 21:15:00",0.000316812702805567,0.000108569708732827
"108","78220000171","2022-07-26 21:30:00",0.000316925679172706,0.000108799438374018
"109","78220000171","2022-07-26 21:45:00",0.000316920482071911,0.000108452984340394
"110","78220000171","2022-07-26 22:00:00",0.0003165257348003,0.000108998317008465
"111","78220000171","2022-07-26 22:15:00",0.000316738854207494,0.000109173255446689
"112","78220000171","2022-07-26 22:30:00",0.000316729943047096,0.000108963546133023
