"","reach_id","pt_time_UTC","mean_reach_pt_wse_m","mean_reach_pt_wse_precision_m"
"86","78220000171","2022-07-25 19:15:00",51.4479495243468,0.026
"87","78220000171","2022-07-25 19:30:00",51.4479495243468,0.026
"88","78220000171","2022-07-25 19:45:00",51.4499495243468,0.026
"89","78220000171","2022-07-25 20:00:00",51.6492896028239,0.026
"90","78220000171","2022-07-25 20:15:00",51.6480396028239,0.026
"91","78220000171","2022-07-25 20:30:00",51.6515396028239,0.026
"92","78220000171","2022-07-25 20:45:00",51.6602896028239,0.026
"93","78220000171","2022-07-25 21:00:00",51.6422633656288,0.026
"94","78220000171","2022-07-25 21:15:00",51.6456633656288,0.026
"95","78220000171","2022-07-25 21:30:00",51.6450633656288,0.026
"96","78220000171","2022-07-25 21:45:00",51.6462633656288,0.026
"97","78220000171","2022-07-25 22:00:00",51.6440633656288,0.026
"98","78220000171","2022-07-25 22:15:00",51.6450633656288,0.026
"99","78220000171","2022-07-25 22:30:00",51.6452633656288,0.026
"100","78220000171","2022-07-25 22:45:00",51.6450633656288,0.026
"101","78220000171","2022-07-25 23:00:00",51.6446633656288,0.026
"102","78220000171","2022-07-25 23:15:00",51.6448633656288,0.026
"103","78220000171","2022-07-25 23:30:00",51.6450633656288,0.026
"104","78220000171","2022-07-25 23:45:00",51.6456633656288,0.026
"105","78220000171","2022-07-26 00:00:00",51.6436633656288,0.026
"106","78220000171","2022-07-26 00:15:00",51.6434633656288,0.026
"107","78220000171","2022-07-26 00:30:00",51.6448633656288,0.026
"108","78220000171","2022-07-26 00:45:00",51.6450633656288,0.026
"109","78220000171","2022-07-26 01:00:00",51.6436633656288,0.026
"110","78220000171","2022-07-26 01:15:00",51.6438633656288,0.026
"111","78220000171","2022-07-26 01:30:00",51.6430633656288,0.026
"112","78220000171","2022-07-26 01:45:00",51.6416633656288,0.026
"113","78220000171","2022-07-26 02:00:00",51.6420633656288,0.026
"114","78220000171","2022-07-26 02:15:00",51.6410633656288,0.026
"115","78220000171","2022-07-26 02:30:00",51.6408633656288,0.026
