"","reach_id","geometry"
"1",78210000021,list(c(511231.905114438, 511231.905114438, 516560.319720821, 516560.319720821, 511231.905114438, 5078458.27788353, 5093869.99992607, 5093869.99992607, 5078458.27788353, 5078458.27788353))
"2",78210000031,list(c(516462.400156745, 516462.400156745, 521959.225093068, 521959.225093068, 516462.400156745, 5077538.95543079, 5086593.88243973, 5086593.88243973, 5077538.95543079, 5077538.95543079))
"3",78210000291,list(c(511768.00001655, 511768.00001655, 516544.89491982, 516544.89491982, 511768.00001655, 5073171.99992645, 5078499.33535764, 5078499.33535764, 5073171.99992645, 5073171.99992645))
"4",78210000406,list(c(511630.000015978, 511630.000015978, 511868.365019762, 511868.365019762, 511630.000015978, 5072979.99992646, 5073271.73807342, 5073271.73807342, 5072979.99992646, 5072979.99992646))
"5",78220000011,list(c(510304.448846684, 510304.448846684, 515659.819757163, 515659.819757163, 510304.448846684, 5062089.97072948, 5076100.07725856, 5076100.07725856, 5062089.97072948, 5062089.97072948))
"6",78220000021,list(c(510264.65213052, 510264.65213052, 518900.000067793, 518900.000067793, 510264.65213052, 5047562.11106399, 5062159.87513369, 5062159.87513369, 5047562.11106399, 5047562.11106399))
"7",78220000031,list(c(518851.116198634, 518851.116198634, 526066.238471306, 526066.238471306, 518851.116198634, 5040554.95299789, 5047657.99992669, 5047657.99992669, 5040554.95299789, 5040554.95299789))
"8",78220000041,list(c(525736.209795855, 525736.209795855, 527807.834424082, 527807.834424082, 525736.209795855, 5031092.75872556, 5040649.37167964, 5040649.37167964, 5031092.75872556, 5031092.75872556))
"9",78220000051,list(c(526777.762216708, 526777.762216708, 531141.517965869, 531141.517965869, 526777.762216708, 5022085.32099167, 5031166.89918822, 5031166.89918822, 5022085.32099167, 5022085.32099167))
"10",78220000064,list(c(529720.000269386, 529720.000269386, 530120.994465337, 530120.994465337, 529720.000269386, 5021859.99992562, 5022168.57240242, 5022168.57240242, 5021859.99992562, 5021859.99992562))
"11",78220000071,list(c(518592.486473619, 518592.486473619, 529824.274226713, 529824.274226713, 518592.486473619, 5014530.70373814, 5021905.38290446, 5021905.38290446, 5014530.70373814, 5014530.70373814))
"12",78220000081,list(c(505121.427179771, 505121.427179771, 518672.870673146, 518672.870673146, 505121.427179771, 5010963.23751108, 5015578.46661861, 5015578.46661861, 5010963.23751108, 5010963.23751108))
"13",78220000091,list(c(499869.972703531, 499869.972703531, 505192.824742999, 505192.824742999, 499869.972703531, 5009229.98703334, 5014669.43248862, 5014669.43248862, 5009229.98703334, 5009229.98703334))
"14",78220000101,list(c(495878.941462402, 495878.941462402, 500462.251639005, 500462.251639005, 495878.941462402, 5004941.12293394, 5009301.29349456, 5009301.29349456, 5004941.12293394, 5004941.12293394))
"15",78220000111,list(c(497361.330437632, 497361.330437632, 500066.007618777, 500066.007618777, 497361.330437632, 4998286.34535997, 5005010.34641227, 5005010.34641227, 4998286.34535997, 4998286.34535997))
"16",78220000121,list(c(494919.9999987, 494919.9999987, 500402.22418595, 500402.22418595, 494919.9999987, 4991949.99992806, 4998375.8117703, 4998375.8117703, 4991949.99992806, 4991949.99992806))
"17",78220000131,list(c(494036.517161864, 494036.517161864, 497190.795770835, 497190.795770835, 494036.517161864, 4976327.36044621, 4992020.72189064, 4992020.72189064, 4976327.36044621, 4976327.36044621))
"18",78220000141,list(c(485713.073230424, 485713.073230424, 495823.017090494, 495823.017090494, 485713.073230424, 4965730.19208432, 4976428.39269731, 4976428.39269731, 4965730.19208432, 4965730.19208432))
"19",78220000151,list(c(485717.926459432, 485717.926459432, 492888.48606424, 492888.48606424, 485717.926459432, 4954995.8625309, 4965800.1289081, 4965800.1289081, 4954995.8625309, 4954995.8625309))
"20",78220000161,list(c(488039.371979504, 488039.371979504, 492289.811050803, 492289.811050803, 488039.371979504, 4946739.05481354, 4955061.22909105, 4955061.22909105, 4946739.05481354, 4946739.05481354))
"21",78220000171,list(c(487149.908052613, 487149.908052613, 494328.548490354, 494328.548490354, 487149.908052613, 4942589.55246422, 4946998.39301713, 4946998.39301713, 4942589.55246422, 4942589.55246422))
"22",78220000181,list(c(479283.47554388, 479283.47554388, 487198.239900865, 487198.239900865, 479283.47554388, 4931671.53168053, 4942750.18179306, 4942750.18179306, 4931671.53168053, 4931671.53168053))
"23",78220000191,list(c(479886.809374883, 479886.809374883, 483750.097368957, 483750.097368957, 479886.809374883, 4917911.27839456, 4931751.43540154, 4931751.43540154, 4917911.27839456, 4917911.27839456))
"24",78220000201,list(c(480379.91263305, 480379.91263305, 483889.984583799, 483889.984583799, 480379.91263305, 4906087.0892145, 4918098.0300506, 4918098.0300506, 4906087.0892145, 4906087.0892145))
"25",78220000211,list(c(483802.863497567, 483802.863497567, 486469.999973455, 486469.999973455, 483802.863497567, 4899129.81972788, 4906190.66002424, 4906190.66002424, 4899129.81972788, 4899129.81972788))
"26",78220000221,list(c(486385.805828883, 486385.805828883, 488635.999984213, 488635.999984213, 486385.805828883, 4892234.08693339, 4899205.99992974, 4899205.99992974, 4892234.08693339, 4892234.08693339))
"27",78220000231,list(c(484384.69804372, 484394.68937048, 484394.68937048, 484384.69804372, 484374.70671695, 484364.71539019, 484354.72406343, 484344.73273667, 484334.74140991, 484324.75008314, 484314.75875638, 484304.76742962, 484294.77610286, 484294.77610286, 484284.7847761, 484284.7847761, 484274.79344933, 484274.79344933, 484274.79344933, 484264.80212257, 484264.80212257, 484264.80212257, 484264.80212257, 484254.81079581, 484254.81079581, 484254.81079581, 484244.81946905, 484244.81946905, 484244.81946905, 484244.81946905, 
